"latitude"	"longitude"	"width"	"height"	"size"	"quality"	"good"
"c"	"c"	"c"	"c"	"c"	"c"	"d"
						"class"
45	16	604	453	31	0.0001132991	1
21	-87	720	534	43	0.0001118394	0
38	-97	720	540	71	0.0001826132	0
38	-122	604	453	24	8.77154510767072E-005	0
-29	24	720	540	13	3.34362139917695E-005	0
-21	56	604	453	58	0.000211979	1
42	-73	540	720	2	0.000005144	0
26	-80	604	452	49	0.0001794819	0
15	100	604	453	12	4.38577255383536E-005	0
41	-74	640	478	361	0.0011800471	0
39	-97	604	453	76	0.0002777656	0
52	6	453	604	21	0.000076751	0
41	-87	299	448	10	7.46536072623029E-005	0
-29	24	604	453	80	0.0002923848	0
-10	-76	604	453	30	0.0001096443	1
34	-84	403	604	47	0.0001930883	0
39	-99	720	540	128	0.0003292181	1
33	-113	453	604	18	6.57865883075304E-005	0
10	-84	604	453	89	0.0003252781	0
-5	120	428	253	10	9.23497469616933E-005	1
34	-116	604	340	2	0.000009739	1
39	-77	604	453	7	2.55836732307063E-005	0
42	44	426	720	13	4.23839332290037E-005	0
39	-124	720	479	75	0.0002174669	0
33	-112	604	402	25	0.000102962	0
27	-83	604	453	6	2.19288627691768E-005	0
38	-97	453	604	21	0.000076751	0
31	-92	484	648	100	0.000318845	0
43	-77	604	453	15	5.4822156922942E-005	0
38	-85	720	538	6	1.54894671623296E-005	0
20	77	540	720	133	0.0003420782	0
34	-118	720	540	41	0.0001054527	0
31	-92	453	604	100	0.000365481	1
34	-119	720	540	5	1.28600823045267E-005	0
42	-71	604	401	8	0.00003303	0
28	85	720	480	43	0.0001244213	1
39	-121	453	604	56	0.0002046694	1
36	140	720	540	72	0.0001851852	1
41	2	482	720	57	0.0001642462	1
-27	153	604	453	3	1.09644313845884E-005	0
43	13	604	453	50	0.0001827405	0
-41	174	720	540	7	1.80041152263374E-005	0
31	-92	604	453	20	7.30962092305893E-005	0
39	-77	604	453	1	3.65481046152947E-006	0
38	-122	604	453	5	1.82740523076473E-005	0
42	-72	604	453	17	6.21317778460009E-005	0
42	19	604	453	8	2.92384836922357E-005	0
22	114	604	453	8	2.92384836922357E-005	1
13	-60	720	537	138	0.0003569212	0
41	-73	604	403	17	6.98404351469936E-005	0
54	-2	453	604	104	0.0003801003	0
38	-78	604	402	68	0.0002800567	0
