id,latitude,longitude,width,height,size,name,description,caption,good
d,c,c,c,c,c,d,d,d,c
i,,,,,,,,,
1,45,16,604,453,31,454 1659,,,1
2,21,-87,720,534,43,2068 483,687 1182 1309 2068 2107 78 89 453 1905 712 1207 740 300 1692 1363 1913,830 2112 1914 792 814 1386 474 2146 1591 194 51 1982 1905 2076 2054 1933 1092 36 972 1940 1209 186 2144 241,0
3,38,-97,720,540,71,802,,,0
4,38,-122,604,453,24,,924 1914 671 853 193 51 744 1437 1245 563 1410 404 2131 2054 712 613 2137 531 174 1714 1406,665 2040 792 1056 226 248 1612 1920 617 1365 177 1640 991 1926 1750 51 1173 997 24 728 1905 2054 1257 1224 779 609,0
5,-29,24,720,540,13,1766 20,,181 891 22 2123 2107 523 2080 683 1640 166 1096 271 1943 51 370 1415 304 2059 1905 679 1262 1785 1081 328 680 31 1698 1159 1302 1907 1962,0
6,-21,56,604,453,58,1380 1441 1832 1559,,,1
7,42,-73,540,720,2,2046 1426,,1369 1265 121 2030 72 853 540 370 1866 1294 1905 68 976 740 229,0
8,26,-80,604,452,49,1208,643 737 2035 903 51 1858,687 1193 797 1292 643 49 27 1050 467 1578 1710 374 286 1749 1661 847 737 160 1920 397 166 2080 1662 749 1134 700 304 744 51 480 1806 442 475 2147 1905 2059 745 712 1933 2076 1130 525 503 613 800 1576 1840 685 1257 2137 1873 443 1813 658 1978 1230 1208 1159 1104 125 1302 631 263 1396 2023 142,0
9,15,100,604,453,12,1897,716 1327 1301,962 1248 2144,0
10,41,-74,640,478,361,1480 1426,,924 1920 370 1998 1784 1130 1478,0
11,39,-97,604,453,76,1237 2002,1237 2002,1966 1350 763 868,0
12,52,6,453,604,21,792 1829 36 1302,1905 740 1433 1527 87,1193 1105 1754 643 1644 1798 44 737 22 792 880 308 484 1254 1920 2107 6 958 67 551 1871 1052 2086 1976 51 1668 986 2064 1272 2119 24 1784 1905 2054 1229 712 1631 1895 113 740 1257 36 762 652 1917 1428 2143 1538 1901 1802 48 1302 1258 1088 593 1968,0
13,41,-87,299,448,10,,1749 957 78 876 1162 51 68 1350 756 63 2054 1950 597 1835 889 75 1434,467 891 792 1122 957 1903 1749 6 133 1294 51 1905 2048 1130 2054 1675 2137 1923 1538 1835 878 1494 889 1340 785 796 2083 1572 1858 1011 1352 43,0
14,-29,24,604,453,80,709 1326 2102 670,,1766 20,0
15,-10,-76,604,453,30,1419 1976,104 1309 44 1694 1001 484 2035 110 1419 2107 892 1926 755 1844 51 1905 2015 712 1845 1840 1566 1968 1990,92 1905 1720 740 1369 370 463 1573 2054 1185 1925 1814 1962 408 1500 1907 1241 779 2111 1445 520 1482 483 853 1001 1075 1112 354 1612 1908 687 484 891 540 1798 596 1151 892 1262 1632 1410 1780 671 1041 5 1818 79 1596 838 172 1393 875 1578 1893 265 6 746 1153 857 1967 173 1912 913 44 1561 1450 7 1968 1302 969 1210 544 1765 1913 174 1266 563 267 1710 1914 1544 1766 27 1803 767 1193 46 157 1933 1970 1304 712 546 2137 1749 732 880 177 917 1324 1694 2064 1361 11 751 2083 825 1898 2102 1140 1214 104 1566 2084 1363 327 1844 1234 1937 272 1086 50 1123 87 513 439 698 1845 957 587 1771 735 1309 2086 2123 1457 51 125 1605 1957 588 2031 1365 1143 884 903 348 644 330 349 1607 1348 1903 238 2107 1460 91 128 2015 110 1257,1
16,34,-84,403,604,47,2068 1433,,,0
17,39,-99,720,540,128,,1501 1710 2107 409 1905 613 289 2137 1907,1683 1128 1905 166 370 1221 740 1850 1924 2146 1369 685 315 1906 981 1573 241 2054 1092 1148 2110 297 1962 1333 704 427 1981 261 409 483 853 2074 705 1094 687 1538 613 1686 373 743 484 429 540 910 1280 22 1095 1040 1410 744 78 1151 1873 911 1318 763 1337 301 1115 2077 1929 1023 1171 949 1800 875 1578 209 820 1116 6 1930 635 43 876 543 1949 1690 1061 469 1968 1302 969 1395 322 2135 766 544 341 193 1858 1229 1340 2080 915 1914 434 175 1951 545 656 46 120 1304 713 1823 1934 1749 195 1120 2008 1028 1731 1620 732 1324 177 436 251 621 29 2083 1898 566 1639 677 751 1824 807 1769 955 1917 289 326 1029 437 197 2084 12 1011 1566 308 327 68 401 549 290 919 216 179 1289 1363 1067 1104 13 1900 1789 1826 1105 735 1993 957 809 791 2049 643 236 1679 384 51 828 1846 1365 1920 181 1051 903 1347 792 1625 1662 1736 571 1644 1829 1200 1348 312 830 1903 1811 2144 2107 405 775 1478 1515 1182 849 1922 294 1349 2126 1090 128 36 406 443 184 1257,1
18,33,-113,453,604,18,1237,1527,709 1979,0
19,10,-84,604,453,89,1182 432 1560,1182 2107 1062 45 331 1970 51 1905 1361 1955 916 1059 432 1560 1192 626,,0
20,-5,120,428,253,10,2123 1905 87,786 27 1435 2123 671 1871 2086 1118 95 1905 1933 87,220 138 2107 1299 947 1905 1048 234 944,1
21,34,-116,604,340,2,1381 502,,809 1920 705 1123 1151 1668 552 508 1905 855 2109 2054 1301 1840 740 1351 2077 763 1368,1
22,39,-77,604,453,7,1842 711,,,0
23,42,44,426,720,13,110 2068,,,0
24,39,-124,720,479,75,973 206 685,720 973 161 685,,0
25,33,-112,604,402,25,1017 51,1433,,0
26,27,-83,604,453,6,315 1905,,,0
27,38,-97,453,604,21,1237 2002,1237 2002,1589 1887 804 238 46 2006 516 1143,0
28,31,-92,484,648,100,1237 2002,,1369 1292 891 1771 2107 760 51 1993 211 1256 1905 603 1104,0
29,43,-77,604,453,15,517 491,,547,0
30,38,-85,720,538,6,491,491,,0
31,20,77,540,720,133,1393 1976 944,419,1128 2127 1905 610 1720 740 37 407 851 1258 1295 1702 2109 796 944 2054 1758 1925 889 297 168 1981 279 1796 483 853 1667 2074 1815 539 1538 1908 169 1982 687 891 817 1798 2057 2076 1410 1077 1447 78 855 1688 763 2040 634 449 2059 875 949 320 2096 24 1412 1079 857 1061 1912 266 932 322 766 1118 563 1710 1933 712 1915 1249 842 1434 1231 1120 2119 177 2064 2083 566 1621 1362 1140 1973 2084 2140 1622 2029 1363 31 531 1271 679 87 457 1290 587 772 439 1309 643 2086 680 384 51 1106 1365 477 847 1920 921 681 792 829 1976 293 1348 1829 1903 1644 2107 405 294 2089 128 276 313 443 36 1368,0
